,ZAI,Reaction MT,Extrapolation Size [d],Previous Steps,Extrapolation Scheme,Absolute Relative Error [%],Axial Node,ZAI Reaction,Step size $[d]$
888,541350,102,5.0,2,constant,1.3938763275609611,8,"Xe135 $(n, \gamma )$",5
889,541350,102,5.0,2,linear,0.05634051324001632,8,"Xe135 $(n, \gamma )$",5
890,541350,102,5.0,2,quadratic,0.08902202092002653,8,"Xe135 $(n, \gamma )$",5
891,641550,102,5.0,2,constant,1.2808819003385707,8,"Gd155 $(n, \gamma )$",5
892,641550,102,5.0,2,linear,0.04812400324554211,8,"Gd155 $(n, \gamma )$",5
893,641550,102,5.0,2,quadratic,0.07218600486829096,8,"Gd155 $(n, \gamma )$",5
906,541350,102,5.0,3,constant,1.763448039410287,8,"Xe135 $(n, \gamma )$",5
907,541350,102,5.0,3,linear,0.07037551653830132,8,"Xe135 $(n, \gamma )$",5
908,541350,102,5.0,3,quadratic,0.001052625247277561,8,"Xe135 $(n, \gamma )$",5
909,641550,102,5.0,3,constant,1.6234856327467018,8,"Gd155 $(n, \gamma )$",5
910,641550,102,5.0,3,linear,0.06882851626986985,8,"Gd155 $(n, \gamma )$",5
911,641550,102,5.0,3,quadratic,0.013010268319280094,8,"Gd155 $(n, \gamma )$",5
920,541350,102,5.0,1,constant,0.7024554088487234,9,"Xe135 $(n, \gamma )$",5
921,541350,102,5.0,1,linear,0.18357655779479565,9,"Xe135 $(n, \gamma )$",5
922,641550,102,5.0,1,constant,0.6763073564298949,9,"Gd155 $(n, \gamma )$",5
923,641550,102,5.0,1,linear,0.17887154213209744,9,"Gd155 $(n, \gamma )$",5
936,541350,102,5.0,2,constant,0.9756003397421331,9,"Xe135 $(n, \gamma )$",5
937,541350,102,5.0,2,linear,0.1391784418191655,9,"Xe135 $(n, \gamma )$",5
938,541350,102,5.0,2,quadratic,0.25017373175819646,9,"Xe135 $(n, \gamma )$",5
939,641550,102,5.0,2,constant,0.9446146696280522,9,"Gd155 $(n, \gamma )$",5
940,641550,102,5.0,2,linear,0.14536690282036524,9,"Gd155 $(n, \gamma )$",5
941,641550,102,5.0,2,quadratic,0.22912850109984007,9,"Gd155 $(n, \gamma )$",5
954,541350,102,5.0,3,constant,1.2333507065091398,9,"Xe135 $(n, \gamma )$",5
955,541350,102,5.0,3,linear,0.0972897845726739,9,"Xe135 $(n, \gamma )$",5
956,541350,102,5.0,3,quadratic,0.22976025017384938,9,"Xe135 $(n, \gamma )$",5
957,641550,102,5.0,3,constant,1.1867127085258389,9,"Gd155 $(n, \gamma )$",5
958,641550,102,5.0,3,linear,0.08457219439179653,9,"Gd155 $(n, \gamma )$",5
959,641550,102,5.0,3,quadratic,0.25749936503317583,9,"Gd155 $(n, \gamma )$",5
968,541350,102,10.0,1,constant,1.4606072095983524,0,"Xe135 $(n, \gamma )$",10
969,541350,102,10.0,1,linear,0.05958345746551741,0,"Xe135 $(n, \gamma )$",10
970,641550,102,10.0,1,constant,1.350806553213335,0,"Gd155 $(n, \gamma )$",10
971,641550,102,10.0,1,linear,0.058960778483829746,0,"Gd155 $(n, \gamma )$",10
984,541350,102,10.0,2,constant,1.9909902590074857,0,"Xe135 $(n, \gamma )$",10
985,541350,102,10.0,2,linear,0.1068891115745707,0,"Xe135 $(n, \gamma )$",10
986,541350,102,10.0,2,quadratic,0.01137502369803478,0,"Xe135 $(n, \gamma )$",10
987,641550,102,10.0,2,constant,1.8583563885095522,0,"Gd155 $(n, \gamma )$",10
988,641550,102,10.0,2,linear,0.13421556127807266,0,"Gd155 $(n, \gamma )$",10
989,641550,102,10.0,2,quadratic,0.053921395707434705,0,"Gd155 $(n, \gamma )$",10
1002,541350,102,10.0,3,constant,2.508463559299079,0,"Xe135 $(n, \gamma )$",10
1003,541350,102,10.0,3,linear,0.09289602686674003,0,"Xe135 $(n, \gamma )$",10
1004,541350,102,10.0,3,quadratic,0.09831270481829302,0,"Xe135 $(n, \gamma )$",10
1005,641550,102,10.0,3,constant,2.343438975594303,0,"Gd155 $(n, \gamma )$",10
1006,641550,102,10.0,3,linear,0.10809476055380074,0,"Gd155 $(n, \gamma )$",10
1007,641550,102,10.0,3,quadratic,0.12636252311833962,0,"Gd155 $(n, \gamma )$",10
1016,541350,102,10.0,1,constant,1.9454544419976738,1,"Xe135 $(n, \gamma )$",10
1017,541350,102,10.0,1,linear,0.13883910027711055,1,"Xe135 $(n, \gamma )$",10
1018,641550,102,10.0,1,constant,1.7771442147778371,1,"Gd155 $(n, \gamma )$",10
1019,641550,102,10.0,1,linear,0.11720915498537599,1,"Gd155 $(n, \gamma )$",10
1032,541350,102,10.0,2,constant,2.6430640196195787,1,"Xe135 $(n, \gamma )$",10
1033,541350,102,10.0,2,linear,0.14452922733764195,1,"Xe135 $(n, \gamma )$",10
1034,541350,102,10.0,2,quadratic,0.13030390968630234,1,"Xe135 $(n, \gamma )$",10
1035,641550,102,10.0,2,constant,2.4163388858090995,1,"Gd155 $(n, \gamma )$",10
1036,641550,102,10.0,2,linear,0.13269625053895506,1,"Gd155 $(n, \gamma )$",10
1037,641550,102,10.0,2,quadratic,0.0939785116548908,1,"Gd155 $(n, \gamma )$",10
1050,541350,102,10.0,3,constant,3.40696357749668,1,"Xe135 $(n, \gamma )$",10
1051,541350,102,10.0,3,linear,0.27853171961329526,1,"Xe135 $(n, \gamma )$",10
1052,541350,102,10.0,3,quadratic,0.06003084048846752,1,"Xe135 $(n, \gamma )$",10
1053,641550,102,10.0,3,constant,3.1185818748185268,1,"Gd155 $(n, \gamma )$",10
1054,641550,102,10.0,3,linear,0.26266466038382674,1,"Gd155 $(n, \gamma )$",10
1055,641550,102,10.0,3,quadratic,0.07193579894919644,1,"Gd155 $(n, \gamma )$",10
1064,541350,102,10.0,1,constant,2.034870277019829,2,"Xe135 $(n, \gamma )$",10
1065,541350,102,10.0,1,linear,0.12255468713870954,2,"Xe135 $(n, \gamma )$",10
1066,641550,102,10.0,1,constant,1.854084935794309,2,"Gd155 $(n, \gamma )$",10
1067,641550,102,10.0,1,linear,0.13398503655113192,2,"Gd155 $(n, \gamma )$",10
1080,541350,102,10.0,2,constant,2.8249240777567186,2,"Xe135 $(n, \gamma )$",10
1081,541350,102,10.0,2,linear,0.26437897917339637,2,"Xe135 $(n, \gamma )$",10
1082,541350,102,10.0,2,quadratic,0.09018175091337621,2,"Xe135 $(n, \gamma )$",10
1083,641550,102,10.0,2,constant,2.5773361630973213,2,"Gd155 $(n, \gamma )$",10
1084,641550,102,10.0,2,linear,0.25510750959334416,2,"Gd155 $(n, \gamma )$",10
1085,641550,102,10.0,2,quadratic,0.04769867301217534,2,"Gd155 $(n, \gamma )$",10
1098,541350,102,10.0,3,constant,3.6811207972991644,2,"Xe135 $(n, \gamma )$",10
1099,541350,102,10.0,3,linear,0.4321208897932749,2,"Xe135 $(n, \gamma )$",10
1100,541350,102,10.0,3,quadratic,0.07587406927791474,2,"Xe135 $(n, \gamma )$",10
1101,641550,102,10.0,3,constant,3.363426372542677,2,"Gd155 $(n, \gamma )$",10
1102,641550,102,10.0,3,linear,0.411066092138912,2,"Gd155 $(n, \gamma )$",10
1103,641550,102,10.0,3,quadratic,0.054531909876054385,2,"Gd155 $(n, \gamma )$",10
1112,541350,102,10.0,1,constant,2.007147946133414,3,"Xe135 $(n, \gamma )$",10
1113,541350,102,10.0,1,linear,0.18979432135391994,3,"Xe135 $(n, \gamma )$",10
1114,641550,102,10.0,1,constant,1.8212565615022047,3,"Gd155 $(n, \gamma )$",10
1115,641550,102,10.0,1,linear,0.16829915038690801,3,"Gd155 $(n, \gamma )$",10
1128,541350,102,10.0,2,constant,2.8151851029950548,3,"Xe135 $(n, \gamma )$",10
1129,541350,102,10.0,2,linear,0.34124045675220094,3,"Xe135 $(n, \gamma )$",10
1130,541350,102,10.0,2,quadratic,0.03737488174362369,3,"Xe135 $(n, \gamma )$",10
1131,641550,102,10.0,2,constant,2.55984270433105,3,"Gd155 $(n, \gamma )$",10
1132,641550,102,10.0,2,linear,0.31910096145173483,3,"Gd155 $(n, \gamma )$",10
1133,641550,102,10.0,2,quadratic,0.05790356621022674,3,"Gd155 $(n, \gamma )$",10
1146,541350,102,10.0,3,constant,3.717486772795753,3,"Xe135 $(n, \gamma )$",10
1147,541350,102,10.0,3,linear,0.5676310164800191,3,"Xe135 $(n, \gamma )$",10
1148,541350,102,10.0,3,quadratic,0.09299921746328543,3,"Xe135 $(n, \gamma )$",10
1149,641550,102,10.0,3,constant,3.3823529411764586,3,"Gd155 $(n, \gamma )$",10
1150,641550,102,10.0,3,linear,0.5246496022512481,3,"Gd155 $(n, \gamma )$",10
1151,641550,102,10.0,3,quadratic,0.08347313166294779,3,"Gd155 $(n, \gamma )$",10
1160,541350,102,10.0,1,constant,2.0096713963446478,4,"Xe135 $(n, \gamma )$",10
1161,541350,102,10.0,1,linear,0.22735438422892829,4,"Xe135 $(n, \gamma )$",10
1162,641550,102,10.0,1,constant,1.8212733902486677,4,"Gd155 $(n, \gamma )$",10
1163,641550,102,10.0,1,linear,0.2232581497413011,4,"Gd155 $(n, \gamma )$",10
1176,541350,102,10.0,2,constant,2.8354507919118532,4,"Xe135 $(n, \gamma )$",10
1177,541350,102,10.0,2,linear,0.3875626549808997,4,"Xe135 $(n, \gamma )$",10
1178,541350,102,10.0,2,quadratic,0.012958021899067695,4,"Xe135 $(n, \gamma )$",10
1179,641550,102,10.0,2,constant,2.575019833038561,4,"Gd155 $(n, \gamma )$",10
1180,641550,102,10.0,2,linear,0.3677300086610269,4,"Gd155 $(n, \gamma )$",10
1181,641550,102,10.0,2,quadratic,0.006550361361612467,4,"Gd155 $(n, \gamma )$",10
1194,541350,102,10.0,3,constant,3.7517890905235607,4,"Xe135 $(n, \gamma )$",10
1195,541350,102,10.0,3,linear,0.6087325287579937,4,"Xe135 $(n, \gamma )$",10
1196,541350,102,10.0,3,quadratic,0.04432232490456656,4,"Xe135 $(n, \gamma )$",10
1197,641550,102,10.0,3,constant,3.414648791458319,4,"Gd155 $(n, \gamma )$",10
1198,641550,102,10.0,3,linear,0.5756130046507657,4,"Gd155 $(n, \gamma )$",10
1199,641550,102,10.0,3,quadratic,0.03438939714817124,4,"Gd155 $(n, \gamma )$",10
1208,541350,102,10.0,1,constant,2.0777662973123556,5,"Xe135 $(n, \gamma )$",10
1209,541350,102,10.0,1,linear,0.15617391717434037,5,"Xe135 $(n, \gamma )$",10
1210,641550,102,10.0,1,constant,1.9119153294639757,5,"Gd155 $(n, \gamma )$",10
1211,641550,102,10.0,1,linear,0.12500137666713318,5,"Gd155 $(n, \gamma )$",10
1224,541350,102,10.0,2,constant,2.907526830639373,5,"Xe135 $(n, \gamma )$",10
1225,541350,102,10.0,2,linear,0.32640150750391506,5,"Xe135 $(n, \gamma )$",10
1226,541350,102,10.0,2,quadratic,0.0991674683199717,5,"Xe135 $(n, \gamma )$",10
1227,641550,102,10.0,2,constant,2.6692658142343895,5,"Gd155 $(n, \gamma )$",10
1228,641550,102,10.0,2,linear,0.28175787545384745,5,"Gd155 $(n, \gamma )$",10
1229,641550,102,10.0,2,quadratic,0.11013337151286606,5,"Gd155 $(n, \gamma )$",10
1242,541350,102,10.0,3,constant,3.825667153596757,5,"Xe135 $(n, \gamma )$",10
1243,541350,102,10.0,3,linear,0.5457179843470272,5,"Xe135 $(n, \gamma )$",10
1244,541350,102,10.0,3,quadratic,0.10896545171656946,5,"Xe135 $(n, \gamma )$",10
1245,641550,102,10.0,3,constant,3.5117402174032586,5,"Gd155 $(n, \gamma )$",10
1246,641550,102,10.0,3,linear,0.4911948369475616,5,"Gd155 $(n, \gamma )$",10
1247,641550,102,10.0,3,quadratic,0.13037037852807742,5,"Gd155 $(n, \gamma )$",10
1256,541350,102,10.0,1,constant,2.1476963958679818,6,"Xe135 $(n, \gamma )$",10
1257,541350,102,10.0,1,linear,0.13525968662843058,6,"Xe135 $(n, \gamma )$",10
1258,641550,102,10.0,1,constant,1.9885574626450797,6,"Gd155 $(n, \gamma )$",10
1259,641550,102,10.0,1,linear,0.07776481697491233,6,"Gd155 $(n, \gamma )$",10
1272,541350,102,10.0,2,constant,2.979703067083239,6,"Xe135 $(n, \gamma )$",10
1273,541350,102,10.0,2,linear,0.27730230739463346,6,"Xe135 $(n, \gamma )$",10
1274,541350,102,10.0,2,quadratic,0.07780424452092927,6,"Xe135 $(n, \gamma )$",10
1275,641550,102,10.0,2,constant,2.747875354107654,6,"Gd155 $(n, \gamma )$",10
1276,641550,102,10.0,2,linear,0.21885241348664763,6,"Gd155 $(n, \gamma )$",10
1277,641550,102,10.0,2,quadratic,0.13386657779257405,6,"Gd155 $(n, \gamma )$",10
1290,541350,102,10.0,3,constant,3.8905114731335955,6,"Xe135 $(n, \gamma )$",10
1291,541350,102,10.0,3,linear,0.4704164322564375,6,"Xe135 $(n, \gamma )$",10
1292,541350,102,10.0,3,quadratic,0.10114551787681059,6,"Xe135 $(n, \gamma )$",10
1293,641550,102,10.0,3,constant,3.587874243181699,6,"Gd155 $(n, \gamma )$",10
1294,641550,102,10.0,3,linear,0.4154863078376092,6,"Gd155 $(n, \gamma )$",10
1295,641550,102,10.0,3,quadratic,0.16427817585922266,6,"Gd155 $(n, \gamma )$",10
1304,541350,102,10.0,1,constant,2.1855129308010923,7,"Xe135 $(n, \gamma )$",10
1305,541350,102,10.0,1,linear,0.16603401290974373,7,"Xe135 $(n, \gamma )$",10
1306,641550,102,10.0,1,constant,2.0125396053711997,7,"Gd155 $(n, \gamma )$",10
1307,641550,102,10.0,1,linear,0.11902566595697328,7,"Gd155 $(n, \gamma )$",10
1320,541350,102,10.0,2,constant,3.0096672702444316,7,"Xe135 $(n, \gamma )$",10
1321,541350,102,10.0,2,linear,0.24664472932246495,7,"Xe135 $(n, \gamma )$",10
1322,541350,102,10.0,2,quadratic,0.04511793829066191,7,"Xe135 $(n, \gamma )$",10
1323,641550,102,10.0,2,constant,2.766648226070556,7,"Gd155 $(n, \gamma )$",10
1324,641550,102,10.0,2,linear,0.20619939313674118,7,"Gd155 $(n, \gamma )$",10
1325,641550,102,10.0,2,quadratic,0.011734924812656367,7,"Gd155 $(n, \gamma )$",10
1338,541350,102,10.0,3,constant,3.8899182462958093,7,"Xe135 $(n, \gamma )$",10
1339,541350,102,10.0,3,linear,0.37899068164181093,7,"Xe135 $(n, \gamma )$",10
1340,541350,102,10.0,3,quadratic,0.0022558969144048646,7,"Xe135 $(n, \gamma )$",10
1341,641550,102,10.0,3,constant,3.580688784205921,7,"Gd155 $(n, \gamma )$",10
1342,641550,102,10.0,3,linear,0.34785669980386125,7,"Gd155 $(n, \gamma )$",10
1343,641550,102,10.0,3,quadratic,0.06077014635099687,7,"Gd155 $(n, \gamma )$",10
1352,541350,102,10.0,1,constant,2.1323211194460345,8,"Xe135 $(n, \gamma )$",10
1353,541350,102,10.0,1,linear,0.037867859203688514,8,"Xe135 $(n, \gamma )$",10
1354,641550,102,10.0,1,constant,1.9913979216304778,8,"Gd155 $(n, \gamma )$",10
1355,641550,102,10.0,1,linear,0.04306632213605388,8,"Gd155 $(n, \gamma )$",10
1368,541350,102,10.0,2,constant,2.866536834006572,8,"Xe135 $(n, \gamma )$",10
1369,541350,102,10.0,2,linear,0.05950663589151528,8,"Xe135 $(n, \gamma )$",10
1370,541350,102,10.0,2,quadratic,0.005409694171820689,8,"Xe135 $(n, \gamma )$",10
1371,641550,102,10.0,2,constant,2.6798065557755546,8,"Gd155 $(n, \gamma )$",10
1372,641550,102,10.0,2,linear,0.06357409458185304,8,"Gd155 $(n, \gamma )$",10
1373,641550,102,10.0,2,quadratic,0.01230466346751058,8,"Gd155 $(n, \gamma )$",10
1386,541350,102,10.0,3,constant,3.626598865166386,8,"Xe135 $(n, \gamma )$",10
1387,541350,102,10.0,3,linear,0.11660896326218806,8,"Xe135 $(n, \gamma )$",10
1388,541350,102,10.0,3,quadratic,0.03967109059419549,8,"Xe135 $(n, \gamma )$",10
1389,641550,102,10.0,3,constant,3.3869984451379676,8,"Gd155 $(n, \gamma )$",10
1390,641550,102,10.0,3,linear,0.10626754812806949,8,"Gd155 $(n, \gamma )$",10
1391,641550,102,10.0,3,quadratic,0.013283443515876847,8,"Gd155 $(n, \gamma )$",10
1400,541350,102,10.0,1,constant,1.537651029635656,9,"Xe135 $(n, \gamma )$",10
1401,541350,102,10.0,1,linear,0.05326200855665375,9,"Xe135 $(n, \gamma )$",10
1402,641550,102,10.0,1,constant,1.4563211685140853,9,"Gd155 $(n, \gamma )$",10
1403,641550,102,10.0,1,linear,0.01242410492425794,9,"Gd155 $(n, \gamma )$",10
1416,541350,102,10.0,2,constant,2.072393876412826,9,"Xe135 $(n, \gamma )$",10
1417,541350,102,10.0,2,linear,0.06213900998275346,9,"Xe135 $(n, \gamma )$",10
1418,541350,102,10.0,2,quadratic,0.03994650641750974,9,"Xe135 $(n, \gamma )$",10
1419,641550,102,10.0,2,constant,1.9702109577004467,9,"Gd155 $(n, \gamma )$",10
1420,641550,102,10.0,2,linear,0.052757431055250326,9,"Gd155 $(n, \gamma )$",10
1421,641550,102,10.0,2,quadratic,0.11019640889344817,9,"Gd155 $(n, \gamma )$",10
1434,541350,102,10.0,3,constant,2.609548951838403,9,"Xe135 $(n, \gamma )$",10
1435,541350,102,10.0,3,linear,0.06918271763610706,9,"Xe135 $(n, \gamma )$",10
1436,541350,102,10.0,3,quadratic,0.046025322611542574,9,"Xe135 $(n, \gamma )$",10
1437,641550,102,10.0,3,constant,2.4806346016723824,9,"Gd155 $(n, \gamma )$",10
1438,641550,102,10.0,3,linear,0.06212052462136741,9,"Gd155 $(n, \gamma )$",10
1439,641550,102,10.0,3,quadratic,0.0020256692809139665,9,"Gd155 $(n, \gamma )$",10
1448,541350,102,25.0,1,constant,3.7481559137750864,0,"Xe135 $(n, \gamma )$",25
1449,541350,102,25.0,1,linear,0.5285029532398844,0,"Xe135 $(n, \gamma )$",25
1450,641550,102,25.0,1,constant,3.5046658488023574,0,"Gd155 $(n, \gamma )$",25
1451,641550,102,25.0,1,linear,0.4917241518009874,0,"Gd155 $(n, \gamma )$",25
1464,541350,102,25.0,2,constant,4.2564842484864585,0,"Xe135 $(n, \gamma )$",25
1465,541350,102,25.0,2,linear,0.5206469381907608,0,"Xe135 $(n, \gamma )$",25
1466,541350,102,25.0,2,quadratic,1.2310119912889994,0,"Xe135 $(n, \gamma )$",25
1467,641550,102,25.0,2,constant,3.976697571211174,0,"Gd155 $(n, \gamma )$",25
1468,641550,102,25.0,2,linear,0.4795708007306665,0,"Gd155 $(n, \gamma )$",25
1469,641550,102,25.0,2,quadratic,1.5785141994345553,0,"Gd155 $(n, \gamma )$",25
1482,541350,102,25.0,3,constant,4.545098378284895,0,"Xe135 $(n, \gamma )$",25
1483,541350,102,25.0,3,linear,0.5275617801067778,0,"Xe135 $(n, \gamma )$",25
1484,541350,102,25.0,3,quadratic,0.28672069022855906,0,"Xe135 $(n, \gamma )$",25
1485,641550,102,25.0,3,constant,4.256078675864261,0,"Gd155 $(n, \gamma )$",25
1486,641550,102,25.0,3,linear,0.5024960086343899,0,"Gd155 $(n, \gamma )$",25
1487,641550,102,25.0,3,quadratic,0.6030037772758456,0,"Gd155 $(n, \gamma )$",25
1496,541350,102,25.0,1,constant,5.268118204786076,1,"Xe135 $(n, \gamma )$",25
1497,541350,102,25.0,1,linear,1.0151304397195027,1,"Xe135 $(n, \gamma )$",25
1498,641550,102,25.0,1,constant,4.85998398010159,1,"Gd155 $(n, \gamma )$",25
1499,641550,102,25.0,1,linear,0.9775299846124463,1,"Gd155 $(n, \gamma )$",25
1512,541350,102,25.0,2,constant,6.038928473424754,1,"Xe135 $(n, \gamma )$",25
1513,541350,102,25.0,2,linear,1.0422601676194354,1,"Xe135 $(n, \gamma )$",25
1514,541350,102,25.0,2,quadratic,1.41089330517854,1,"Xe135 $(n, \gamma )$",25
1515,641550,102,25.0,2,constant,5.57060348643581,1,"Gd155 $(n, \gamma )$",25
1516,641550,102,25.0,2,linear,0.9938490661745125,1,"Gd155 $(n, \gamma )$",25
1517,641550,102,25.0,2,quadratic,0.4817725012267404,1,"Gd155 $(n, \gamma )$",25
1530,541350,102,25.0,3,constant,6.487211513895597,1,"Xe135 $(n, \gamma )$",25
1531,541350,102,25.0,3,linear,1.085724509291297,1,"Xe135 $(n, \gamma )$",25
1532,541350,102,25.0,3,quadratic,2.1190288982059657,1,"Xe135 $(n, \gamma )$",25
1533,641550,102,25.0,3,constant,5.984143462405944,1,"Gd155 $(n, \gamma )$",25
1534,641550,102,25.0,3,linear,1.0308466489800772,1,"Gd155 $(n, \gamma )$",25
1535,641550,102,25.0,3,quadratic,1.5473804237380984,1,"Gd155 $(n, \gamma )$",25
1544,541350,102,25.0,1,constant,5.860208850170179,2,"Xe135 $(n, \gamma )$",25
1545,541350,102,25.0,1,linear,1.4290659435758912,2,"Xe135 $(n, \gamma )$",25
1546,641550,102,25.0,1,constant,5.352549533409978,2,"Gd155 $(n, \gamma )$",25
1547,641550,102,25.0,1,linear,1.3085911388004634,2,"Gd155 $(n, \gamma )$",25
1560,541350,102,25.0,2,constant,6.751091367141693,2,"Xe135 $(n, \gamma )$",25
1561,541350,102,25.0,2,linear,1.4551458495789982,2,"Xe135 $(n, \gamma )$",25
1562,541350,102,25.0,2,quadratic,0.9030794970900979,2,"Xe135 $(n, \gamma )$",25
1563,641550,102,25.0,2,constant,6.1720010338957465,2,"Gd155 $(n, \gamma )$",25
1564,641550,102,25.0,2,linear,1.3410340739948734,2,"Gd155 $(n, \gamma )$",25
1565,641550,102,25.0,2,quadratic,1.5925559506948073,2,"Gd155 $(n, \gamma )$",25
1578,541350,102,25.0,3,constant,7.259562683897758,2,"Xe135 $(n, \gamma )$",25
1579,541350,102,25.0,3,linear,1.4876094602242818,2,"Xe135 $(n, \gamma )$",25
1580,541350,102,25.0,3,quadratic,1.0345787247290517,2,"Xe135 $(n, \gamma )$",25
1581,641550,102,25.0,3,constant,6.641755127142446,2,"Gd155 $(n, \gamma )$",25
1582,641550,102,25.0,3,linear,1.3776273710816467,2,"Gd155 $(n, \gamma )$",25
1583,641550,102,25.0,3,quadratic,1.5327127593923295,2,"Gd155 $(n, \gamma )$",25
1592,541350,102,25.0,1,constant,5.974903249871777,3,"Xe135 $(n, \gamma )$",25
1593,541350,102,25.0,1,linear,1.7578216067514973,3,"Xe135 $(n, \gamma )$",25
1594,641550,102,25.0,1,constant,5.444779891876683,3,"Gd155 $(n, \gamma )$",25
1595,641550,102,25.0,1,linear,1.6704562025070202,3,"Gd155 $(n, \gamma )$",25
1608,541350,102,25.0,2,constant,6.945804386005805,3,"Xe135 $(n, \gamma )$",25
1609,541350,102,25.0,2,linear,1.827134757298643,3,"Xe135 $(n, \gamma )$",25
1610,541350,102,25.0,2,quadratic,4.440373586408541,3,"Xe135 $(n, \gamma )$",25
1611,641550,102,25.0,2,constant,6.336716011644072,3,"Gd155 $(n, \gamma )$",25
1612,641550,102,25.0,2,linear,1.7319203774123548,3,"Gd155 $(n, \gamma )$",25
1613,641550,102,25.0,2,quadratic,3.825859438066148,3,"Gd155 $(n, \gamma )$",25
1626,541350,102,25.0,3,constant,7.50061197370262,3,"Xe135 $(n, \gamma )$",25
1627,541350,102,25.0,3,linear,1.8800520321352043,3,"Xe135 $(n, \gamma )$",25
1628,541350,102,25.0,3,quadratic,2.8235675128710946,3,"Xe135 $(n, \gamma )$",25
1629,641550,102,25.0,3,constant,6.845602968259734,3,"Gd155 $(n, \gamma )$",25
1630,641550,102,25.0,3,linear,1.7783499852105589,3,"Gd155 $(n, \gamma )$",25
1631,641550,102,25.0,3,quadratic,2.362944426135938,3,"Gd155 $(n, \gamma )$",25
1640,541350,102,25.0,1,constant,6.185700420575846,4,"Xe135 $(n, \gamma )$",25
1641,541350,102,25.0,1,linear,1.7040675274256678,4,"Xe135 $(n, \gamma )$",25
1642,641550,102,25.0,1,constant,5.661467674845833,4,"Gd155 $(n, \gamma )$",25
1643,641550,102,25.0,1,linear,1.5624233371312357,4,"Gd155 $(n, \gamma )$",25
1656,541350,102,25.0,2,constant,7.1497897120673,4,"Xe135 $(n, \gamma )$",25
1657,541350,102,25.0,2,linear,1.7319983947341133,4,"Xe135 $(n, \gamma )$",25
1658,541350,102,25.0,2,quadratic,0.7935965684272572,4,"Xe135 $(n, \gamma )$",25
1659,641550,102,25.0,2,constant,6.551892698333095,4,"Gd155 $(n, \gamma )$",25
1660,641550,102,25.0,2,linear,1.6004202759215769,4,"Gd155 $(n, \gamma )$",25
1661,641550,102,25.0,2,quadratic,1.835379843153273,4,"Gd155 $(n, \gamma )$",25
1674,541350,102,25.0,3,constant,7.700802917561256,4,"Xe135 $(n, \gamma )$",25
1675,541350,102,25.0,3,linear,1.7682439595414823,4,"Xe135 $(n, \gamma )$",25
1676,541350,102,25.0,3,quadratic,1.02153478680298,4,"Xe135 $(n, \gamma )$",25
1677,641550,102,25.0,3,constant,7.053665371007378,4,"Gd155 $(n, \gamma )$",25
1678,641550,102,25.0,3,linear,1.6272221876337145,4,"Gd155 $(n, \gamma )$",25
1679,641550,102,25.0,3,quadratic,0.8189865149453412,4,"Gd155 $(n, \gamma )$",25
1688,541350,102,25.0,1,constant,6.190930759288005,5,"Xe135 $(n, \gamma )$",25
1689,541350,102,25.0,1,linear,1.7360575839865833,5,"Xe135 $(n, \gamma )$",25
1690,641550,102,25.0,1,constant,5.6671981526280835,5,"Gd155 $(n, \gamma )$",25
1691,641550,102,25.0,1,linear,1.6076533978447327,5,"Gd155 $(n, \gamma )$",25
1704,541350,102,25.0,2,constant,7.137323261669559,5,"Xe135 $(n, \gamma )$",25
1705,541350,102,25.0,2,linear,1.7282412955810011,5,"Xe135 $(n, \gamma )$",25
1706,541350,102,25.0,2,quadratic,2.435014143324532,5,"Xe135 $(n, \gamma )$",25
1707,641550,102,25.0,2,constant,6.540026391027065,5,"Gd155 $(n, \gamma )$",25
1708,641550,102,25.0,2,linear,1.6074050951708774,5,"Gd155 $(n, \gamma )$",25
1709,641550,102,25.0,2,quadratic,1.629857386949618,5,"Gd155 $(n, \gamma )$",25
1722,541350,102,25.0,3,constant,7.685078679932178,5,"Xe135 $(n, \gamma )$",25
1723,541350,102,25.0,3,linear,1.76076726431732,5,"Xe135 $(n, \gamma )$",25
1724,541350,102,25.0,3,quadratic,0.016035758610155604,5,"Xe135 $(n, \gamma )$",25
1725,641550,102,25.0,3,constant,7.047366395425558,5,"Gd155 $(n, \gamma )$",25
1726,641550,102,25.0,3,linear,1.643713141461245,5,"Gd155 $(n, \gamma )$",25
1727,641550,102,25.0,3,quadratic,0.5270369281523468,5,"Gd155 $(n, \gamma )$",25
1736,541350,102,25.0,1,constant,6.195488542139582,6,"Xe135 $(n, \gamma )$",25
1737,541350,102,25.0,1,linear,1.3136514612057448,6,"Xe135 $(n, \gamma )$",25
1738,641550,102,25.0,1,constant,5.6789398129929225,6,"Gd155 $(n, \gamma )$",25
1739,641550,102,25.0,1,linear,1.2980750577815225,6,"Gd155 $(n, \gamma )$",25
1752,541350,102,25.0,2,constant,7.111081905581207,6,"Xe135 $(n, \gamma )$",25
1753,541350,102,25.0,2,linear,1.3370330144963138,6,"Xe135 $(n, \gamma )$",25
1754,541350,102,25.0,2,quadratic,0.7771989772756172,6,"Xe135 $(n, \gamma )$",25
1755,641550,102,25.0,2,constant,6.519751026765164,6,"Gd155 $(n, \gamma )$",25
1756,641550,102,25.0,2,linear,1.3038322017803639,6,"Gd155 $(n, \gamma )$",25
1757,641550,102,25.0,2,quadratic,0.7832535271139807,6,"Gd155 $(n, \gamma )$",25
1770,541350,102,25.0,3,constant,7.639668809290545,6,"Xe135 $(n, \gamma )$",25
