,ZAI,Reaction MT,Extrapolation Size [d],Previous Steps,Extrapolation Scheme,Absolute Relative Error [%],Axial Node,ZAI Reaction,Step size $[d]$
186,541350,102,1.0,3,constant,0.22583585560529418,3,"Xe135 $(n, \gamma )$",1
187,541350,102,1.0,3,linear,0.008180341470875874,3,"Xe135 $(n, \gamma )$",1
188,541350,102,1.0,3,quadratic,0.17324794614984595,3,"Xe135 $(n, \gamma )$",1
189,641550,102,1.0,3,constant,0.1972704378672363,3,"Gd155 $(n, \gamma )$",1
190,641550,102,1.0,3,linear,0.002166319152929752,3,"Gd155 $(n, \gamma )$",1
191,641550,102,1.0,3,quadratic,0.15015299629009826,3,"Gd155 $(n, \gamma )$",1
200,541350,102,1.0,1,constant,0.015914931742599947,4,"Xe135 $(n, \gamma )$",1
201,541350,102,1.0,1,linear,0.15207601442953633,4,"Xe135 $(n, \gamma )$",1
202,641550,102,1.0,1,constant,0.025131530783406575,4,"Gd155 $(n, \gamma )$",1
203,641550,102,1.0,1,linear,0.2649737484770931,4,"Gd155 $(n, \gamma )$",1
216,541350,102,1.0,2,constant,0.11592357689074184,4,"Xe135 $(n, \gamma )$",1
217,541350,102,1.0,2,linear,0.240099340611033,4,"Xe135 $(n, \gamma )$",1
218,541350,102,1.0,2,quadratic,0.020041025157180314,4,"Xe135 $(n, \gamma )$",1
219,641550,102,1.0,2,constant,0.09852288517260277,4,"Gd155 $(n, \gamma )$",1
220,641550,102,1.0,2,linear,0.2183529377485227,4,"Gd155 $(n, \gamma )$",1
221,641550,102,1.0,2,quadratic,0.3349049645701818,4,"Gd155 $(n, \gamma )$",1
234,541350,102,1.0,3,constant,0.22678777733240452,4,"Xe135 $(n, \gamma )$",1
235,541350,102,1.0,3,linear,0.283816282743532,4,"Xe135 $(n, \gamma )$",1
236,541350,102,1.0,3,quadratic,0.11950934854905171,4,"Xe135 $(n, \gamma )$",1
237,641550,102,1.0,3,constant,0.19354010391341436,4,"Gd155 $(n, \gamma )$",1
238,641550,102,1.0,3,linear,0.24994946376966087,4,"Gd155 $(n, \gamma )$",1
239,641550,102,1.0,3,quadratic,0.20009615542235792,4,"Gd155 $(n, \gamma )$",1
248,541350,102,1.0,1,constant,0.2529094994115688,5,"Xe135 $(n, \gamma )$",1
249,541350,102,1.0,1,linear,0.1307640184971426,5,"Xe135 $(n, \gamma )$",1
250,641550,102,1.0,1,constant,0.25458472932462506,5,"Gd155 $(n, \gamma )$",1
251,641550,102,1.0,1,linear,0.12729236466231253,5,"Gd155 $(n, \gamma )$",1
264,541350,102,1.0,2,constant,0.29738907843070983,5,"Xe135 $(n, \gamma )$",1
265,541350,102,1.0,2,linear,0.12323518106849285,5,"Xe135 $(n, \gamma )$",1
266,541350,102,1.0,2,quadratic,0.14205727464007278,5,"Xe135 $(n, \gamma )$",1
267,641550,102,1.0,2,constant,0.28250455534004626,5,"Gd155 $(n, \gamma )$",1
268,641550,102,1.0,2,linear,0.15631428907303402,5,"Gd155 $(n, \gamma )$",1
269,641550,102,1.0,2,quadratic,0.08375947804610817,5,"Gd155 $(n, \gamma )$",1
282,541350,102,1.0,3,constant,0.3809987993485642,5,"Xe135 $(n, \gamma )$",1
283,541350,102,1.0,3,linear,0.04309268791380383,5,"Xe135 $(n, \gamma )$",1
284,541350,102,1.0,3,quadratic,0.24815444419310495,5,"Xe135 $(n, \gamma )$",1
285,641550,102,1.0,3,constant,0.34908966672544395,5,"Gd155 $(n, \gamma )$",1
286,641550,102,1.0,3,linear,0.08623919943566705,5,"Gd155 $(n, \gamma )$",1
287,641550,102,1.0,3,quadratic,0.24328822077201995,5,"Gd155 $(n, \gamma )$",1
296,541350,102,1.0,1,constant,0.25240276654987515,6,"Xe135 $(n, \gamma )$",1
297,541350,102,1.0,1,linear,0.2622833018952275,6,"Xe135 $(n, \gamma )$",1
